Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563,6484619;0,392640364;;589,7136047;336,9140625;0,336914063;;544,0982893;0,366501416;;;;;;;;;;;;;;;;;;;;;;;
563,7200553;0,398330804;;589,7193136;341,796875;0,341796875;;544,286974;0,371813031;;;;;;;;;;;;;;;;;;;;;;;
563,4534268;0,404021244;;589,8558503;346,6796875;0,346679688;;544,6926091;0,377124646;;;;;;;;;;;;;;;;;;;;;;;
563,2093673;0,409711684;;589,907844;351,5625;0,3515625;;545,3486764;0,382436261;;;;;;;;;;;;;;;;;;;;;;;
563,0445957;0,415402124;;590,3321866;356,4453125;0,356445313;;545,8863279;0,387747875;;;;;;;;;;;;;;;;;;;;;;;
563,0844783;0,421092564;;590,6067057;361,328125;0,361328125;;546,31469;0,39305949;;;;;;;;;;;;;;;;;;;;;;;
563,1869514;0,426783005;;591,4929046;366,2109375;0,366210938;;547,1419338;0,398371105;;;;;;;;;;;;;;;;;;;;;;;
562,7191791;0,432473445;;592,4346409;371,09375;0,37109375;;547,4555851;0,40368272;;;;;;;;;;;;;;;;;;;;;;;
562,8122504;0,438163885;;593,0809453;375,9765625;0,375976563;;547,9293887;0,408994334;;;;;;;;;;;;;;;;;;;;;;;
562,7260292;0,443854325;;593,3085165;380,859375;0,380859375;;548,0925699;0,414305949;;;;;;;;;;;;;;;;;;;;;;;
562,6305179;0,449544765;;593,0209272;385,7421875;0,385742188;;547,9886113;0,419617564;;;;;;;;;;;;;;;;;;;;;;;
563,1166201;0,455235205;;593,4622429;390,625;0,390625;;547,9988471;0,424929178;;;;;;;;;;;;;;;;;;;;;;;
559,609999;0,460925645;;593,5658294;395,5078125;0,395507813;;548,0683549;0,430240793;;;;;;;;;;;;;;;;;;;;;;;
563,9233348;0,466616085;;593,8889136;400,390625;0,400390625;;548,4227629;0,435552408;;;;;;;;;;;;;;;;;;;;;;;
564,0054263;0,472306525;;594,667981;405,2734375;0,405273438;;548,4528463;0,440864023;;;;;;;;;;;;;;;;;;;;;;;
564,1733041;0,477996965;;595,4661293;410,15625;0,41015625;;548,9258805;0,446175637;;;;;;;;;;;;;;;;;;;;;;;
564,6738359;0,483687405;;596,3822147;415,0390625;0,415039063;;549,2076853;0,451487252;;;;;;;;;;;;;;;;;;;;;;;
565,204954;0,489377845;;597,4285825;419,921875;0,419921875;;549,6241784;0,456798867;;;;;;;;;;;;;;;;;;;;;;;
565,9424136;0,495068285;;598,2352596;424,8046875;0,424804688;;549,5157993;0,462110482;;;;;;;;;;;;;;;;;;;;;;;
565,8228361;0,500758725;;598,6023458;429,6875;0,4296875;;549,6336329;0,467422096;;;;;;;;;;;;;;;;;;;;;;;
566,2045599;0,506449165;;599,1008293;434,5703125;0,434570313;;549,5228227;0,472733711;;;;;;;;;;;;;;;;;;;;;;;
566,7483818;0,512139605;;598,9687856;439,453125;0,439453125;;549,057743;0,478045326;;;;;;;;;;;;;;;;;;;;;;;
567,1788163;0,517830046;;599,8987193;444,3359375;0,444335938;;548,7152963;0,483356941;;;;;;;;;;;;;;;;;;;;;;;
567,3554857;0,523520486;;600,54115;449,21875;0,44921875;;548,3916801;0,488668555;;;;;;;;;;;;;;;;;;;;;;;
567,7703842;0,529210926;;601,1438992;454,1015625;0,454101563;;548,3476227;0,49398017;;;;;;;;;;;;;;;;;;;;;;;
567,6464072;0,534901366;;601,0960188;458,984375;0,458984375;;548,2572995;0,499291785;;;;;;;;;;;;;;;;;;;;;;;
567,8327587;0,540591806;;600,8415468;463,8671875;0,463867188;;548,4222358;0,504603399;;;;;;;;;;;;;;;;;;;;;;;
567,9899082;0,546282246;;600,9076748;468,75;0,46875;;548,4625107;0,509915014;;;;;;;;;;;;;;;;;;;;;;;
568,1697159;0,551972686;;601,1628504;473,6328125;0,473632813;;548,2977709;0,515226629;;;;;;;;;;;;;;;;;;;;;;;
568,5848971;0,557663126;;597,0677844;478,515625;0,478515625;;543,8384086;0,520538244;;;;;;;;;;;;;;;;;;;;;;;
568,6634342;0,563353566;;596,5125118;483,3984375;0,483398438;;543,3104283;0,525849858;;;;;;;;;;;;;;;;;;;;;;;
569,2178507;0,569044006;;600,170352;488,28125;0,48828125;;543,2742267;0,531161473;;;;;;;;;;;;;;;;;;;;;;;
569,3031722;0,574734446;;595,8204265;493,1640625;0,493164063;;542,9974374;0,536473088;;;;;;;;;;;;;;;;;;;;;;;
